url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=cCYOqx8qho8,"25,519 views","Jul 31, 2020",441,38
https://www.youtube.com/watch?v=MrPKsLq8OqI,"102,877 views","Jul 31, 2020",1.3K,239
https://www.youtube.com/watch?v=daPEm8USZW8,"147,281 views","Jul 30, 2020",2.3K,129
https://www.youtube.com/watch?v=wT0pRnRQJtk,"498,557 views","Jul 31, 2020",10K,446
https://www.youtube.com/watch?v=qSH5tmUQHB0,"896,883 views","Jul 31, 2020",14K,529
https://www.youtube.com/watch?v=S1-DKoij-2M,"1,225,383 views","Jul 30, 2020",111K,1.5K
https://www.youtube.com/watch?v=N3JUFKwwTd0,"1,627,452 views","Jul 29, 2020",145K,2K
https://www.youtube.com/watch?v=9ZKchQz6C7s,"1,848,654 views","Jul 28, 2020",173K,2K
https://www.youtube.com/watch?v=NZFrruhteYQ,"178,840 views","Jul 31, 2020",24K,192
https://www.youtube.com/watch?v=NkHxPF4z4lU,"2,081,894 views","Jul 26, 2020",254K,1.6K
https://www.youtube.com/watch?v=pARr5KAPjxk,"2,512,627 views","Dec 31, 2019",234K,1.7K
https://www.youtube.com/watch?v=UqjB6DtwFak,"2,516,358 views","May 4, 2020",148K,1.6K
https://www.youtube.com/watch?v=jBLVLPSoQLM,"1,662,614 views","Jul 27, 2020",164K,2.8K
https://www.youtube.com/watch?v=0pKNusGLX6w,"1,793,879 views","Jul 23, 2020",187K,2.1K
https://www.youtube.com/watch?v=bC49qDUPciQ,"2,546,370 views","Jul 29, 2020",74K,2.2K
https://www.youtube.com/watch?v=8Bb0Vt3RqdE,"3,146,869 views","Jul 27, 2020",52K,1.9K
https://www.youtube.com/watch?v=9WJ732Kpu80,"7,137,789 views","Jul 21, 2020",144K,5.9K
https://www.youtube.com/watch?v=KB4i909dX24,"177,844 views",Streamed live 15 hours ago,1K,320
https://www.youtube.com/watch?v=LzTZnlx4GMw,"4,196,591 views","Jul 25, 2020",76K,3.2K
https://www.youtube.com/watch?v=xb2N7rYgGYo,"13,951,853 views","Jul 7, 2020",208K,9.8K
